sNoEmplacement,nNoTroncon,longitude,latitude
G671,561,-73.563017,45.513625
G672,561,-73.563017,45.513625
G673,561,-73.562897,45.51357
G674,561,-73.562897,45.51357
G640,562,-73.564066,45.513965
G642,562,-73.56389,45.513885
G643,562,-73.56389,45.513885
G644,562,-73.563755,45.513824
G645,562,-73.563755,45.513824
G646,562,-73.563623,45.513764
G647,562,-73.563623,45.513764
G651,562,-73.563314,45.513624
G652,562,-73.563314,45.513624
G653,562,-73.56318,45.513563
G654,562,-73.56318,45.513563
G655,562,-73.563046,45.513502
H854,563,-73.562535,45.513418
H855,563,-73.562535,45.513418
H856,563,-73.562391,45.513352
H857,563,-73.562391,45.513352
H860,563,-73.56215,45.513242
H861,563,-73.56215,45.513242
H862,563,-73.562006,45.513176
H864,563,-73.561871,45.513114
H868,563,-73.561578,45.512979
H869,563,-73.561578,45.512979
H870,563,-73.561442,45.512916
H871,563,-73.561442,45.512916
H872,564,-73.561089,45.512742
H873,564,-73.561089,45.512742
H874,564,-73.56096,45.512684
H875,564,-73.56096,45.512684
H876,564,-73.560851,45.512637
H877,564,-73.560787,45.512607
H878,564,-73.560702,45.512566
H879,564,-73.560702,45.512566
H880,564,-73.560574,45.512508
H881,564,-73.560574,45.512508
H882,564,-73.560444,45.512449
H883,564,-73.560444,45.512449
H884,564,-73.560316,45.512389
H885,564,-73.560316,45.512389
H886,564,-73.560188,45.51233
H887,564,-73.560124,45.5123
H888,564,-73.560124,45.5123
H641,574,-73.564598,45.508696
H642,574,-73.564467,45.508639
H643,574,-73.564467,45.508639
H644,574,-73.564315,45.508593
H645,574,-73.564315,45.508593
H646,574,-73.564182,45.508532
H647,574,-73.564182,45.508532
H650,574,-73.564006,45.508438
H654,574,-73.563691,45.508344
H655,574,-73.563691,45.508344
H658,574,-73.563483,45.508252
H659,574,-73.563483,45.508252
H660,574,-73.563355,45.508192
H661,574,-73.563355,45.508192
H662,574,-73.563225,45.508136
H663,574,-73.563225,45.508136
H664,574,-73.563096,45.508076
H665,574,-73.563096,45.508076
H669,574,-73.562775,45.507933
H670,574,-73.562775,45.507933
G725,585,-73.562785,45.513581
G726,585,-73.562716,45.513657
G727,585,-73.562716,45.513657
G728,585,-73.562631,45.513751
G729,585,-73.562631,45.513751
G730,585,-73.562547,45.513846
G731,585,-73.562547,45.513846
G732,585,-73.562463,45.51394
G733,585,-73.562463,45.51394
G734,585,-73.562379,45.514035
G735,585,-73.562379,45.514035
G736,585,-73.562295,45.51413
G737,585,-73.562295,45.51413
G738,585,-73.562211,45.514224
G739,585,-73.562211,45.514224
G740,585,-73.562127,45.514319
G741,585,-73.562127,45.514319
Q402,598,-73.56049,45.513911
Q403,598,-73.560444,45.513959
Q404,598,-73.560444,45.513959
Q405,598,-73.560354,45.514059
Q406,598,-73.560354,45.514059
Q407,598,-73.560263,45.514154
Q408,598,-73.560263,45.514154
Q409,598,-73.56019,45.514233
Q411,598,-73.560107,45.514322
Q412,598,-73.560107,45.514322
Q413,598,-73.560023,45.514412
Q414,598,-73.560023,45.514412
Q415,598,-73.559938,45.514502
Q416,598,-73.559932,45.514509
Q420,599,-73.559492,45.514983
Q421,599,-73.559492,45.514983
Q422,599,-73.55942,45.515063
Q423,599,-73.55936,45.515128
Q424,599,-73.55936,45.515128
Q425,599,-73.559277,45.515219
Q426,599,-73.559277,45.515219
Q427,599,-73.559193,45.51531
Q428,599,-73.559193,45.51531
Q429,599,-73.559151,45.515357
H184,612,-73.566875,45.506473
H185,612,-73.566835,45.506519
H186,612,-73.566835,45.506519
H187,612,-73.566754,45.506611
H188,612,-73.566754,45.506611
H189,612,-73.566674,45.506703
H190,612,-73.566674,45.506703
H198,613,-73.566118,45.50734
H199,613,-73.566118,45.50734
H200,613,-73.566037,45.507432
H201,613,-73.566037,45.507432
H202,613,-73.565957,45.507524
H203,613,-73.565957,45.507524
H204,613,-73.565876,45.507616
H205,613,-73.565876,45.507616
